"state","year","zhvi_avg","warn_events","workers_affected","closures","layoffs","pop","births","deaths","netmig","disaster_declarations","workers_affected_per_capita","layoffs_per_capita","layoffs_per_capita_lag1","layoffs_per_capita_lag2","disaster_declarations_lag1","cpi","zhvi_real"
"Alabama",2010,125684.405998173,30,3993,21,9,4785514,NA,NA,NA,3,0.000834393128930351,1.88067572260785e-06,NA,NA,NA,218.056,125684.405998173
"Alabama",2011,119875.264889055,36,5445,22,14,4799642,NA,NA,NA,134,0.00113445961177938,2.91688421761456e-06,1.88067572260785e-06,NA,3,224.939,116207.152875436
"Alabama",2012,121658.98695778,32,5156,18,14,4816632,NA,NA,NA,11,0.00107045753132064,2.90659531390399e-06,2.91688421761456e-06,1.88067572260785e-06,134,229.594,115545.145169585
"Alabama",2013,128972.422809964,41,7329,26,15,4831586,NA,NA,NA,0,0.00151689321063518,3.1045706316725e-06,2.90659531390399e-06,2.91688421761456e-06,11,232.957,120722.754105906
"Alabama",2014,133206.09033159,17,4454,9,8,4843737,NA,NA,NA,21,0.00091953795179218,1.65161733595362e-06,3.1045706316725e-06,2.90659531390399e-06,0,236.736,122695.269132474
"Alabama",2015,135095.071872827,26,4946,13,13,4854803,NA,NA,NA,0,0.00101878490229161,2.67776056000625e-06,1.65161733595362e-06,3.1045706316725e-06,21,237.017,124287.671315987
"Alabama",2016,139962.93032955,21,3566,10,11,4866824,NA,NA,NA,39,0.00073271603822123,2.26020090309409e-06,2.67776056000625e-06,1.65161733595362e-06,0,240.007,127161.94417638
"Alabama",2017,144021.288311231,12,2200,5,7,4877989,NA,NA,NA,116,0.000451005527072734,1.43501758614052e-06,2.26020090309409e-06,2.67776056000625e-06,39,245.12,128119.721132481
"Alabama",2018,149763.209092931,28,3474,19,9,4891628,NA,NA,NA,27,0.000710193007317809,1.83987825730002e-06,1.43501758614052e-06,2.26020090309409e-06,116,251.107,130051.198580558
"Alabama",2019,158084.313265354,17,1847,10,7,4907965,NA,NA,NA,13,0.00037632705204703,1.42625303970179e-06,1.83987825730002e-06,1.43501758614052e-06,27,255.657,134833.910330599
